[2026-09-12 19:29:06] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-12 19:29:30] [FCM_SIMULATION] Title: Order Confirmed! #OD20260912FBA979A | Body: Your order for ₹958.00 has been placed successfully. Delivery expected by 2026-09-16. | Token: device_token_sample_web_app
[2026-09-12 19:29:35] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-12 19:42:55] [FCM_SIMULATION] Title: Order Confirmed! #OD202609124F547FA | Body: Your order for ₹958.00 has been placed successfully. Delivery expected by 2026-09-16. | Token: device_token_sample_web_app
[2026-09-12 19:43:12] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-12 19:46:34] [FCM_SIMULATION] Title: Order Confirmed! #OD2026091264062CF | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-16. | Token: device_token_sample_web_app
[2026-09-12 19:46:52] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-12 20:01:27] [FCM_SIMULATION] Title: Order Confirmed! #OD20260912852250D | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-16. | Token: device_token_sample_web_app
[2026-09-12 20:01:32] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-12 20:05:19] [FCM_SIMULATION] Title: Order Confirmed! #OD2026091251D584C | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-16. | Token: device_token_sample_web_app
[2026-09-12 20:05:24] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-12 20:50:44] [FCM_SIMULATION] Title: Order Confirmed! #OD20260912C0B7D78 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-16. | Token: device_token_sample_web_app
[2026-09-12 20:50:47] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-12 21:30:33] [FCM_SIMULATION] Title: Order Confirmed! #OD202609128014582 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-16. | Token: device_token_sample_web_app
[2026-09-12 21:30:39] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-13 03:37:04] [FCM_SIMULATION] Title: Order Confirmed! #OD20260913246BA63 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-17. | Token: device_token_sample_web_app
[2026-09-13 03:37:07] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-13 04:08:30] [FCM_SIMULATION] Title: Order Confirmed! #OD20260913A8DCE70 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-17. | Token: device_token_sample_web_app
[2026-09-13 04:08:33] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-13 04:13:57] [FCM_SIMULATION] Title: Order Confirmed! #OD2026091386144A4 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-17. | Token: device_token_sample_web_app
[2026-09-13 04:14:00] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-13 04:36:44] [FCM_SIMULATION] Title: Order Confirmed! #OD2026091368654C8 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-17. | Token: device_token_sample_web_app
[2026-09-13 04:36:47] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-13 04:41:33] [FCM_SIMULATION] Title: Order Confirmed! #OD2026091327AB52B | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-17. | Token: device_token_sample_web_app
[2026-09-13 04:41:36] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-13 06:51:00] [FCM_SIMULATION] Title: Order Confirmed! #OD2026091385A10C4 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-17. | Token: device_token_sample_web_app
[2026-09-13 06:51:03] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
[2026-09-13 06:54:24] [FCM_SIMULATION] Title: Flipkart Super Admin Alert | Body: Live test push notification from Flipkart Control Center | Token: device_token_sample_web_app
[2026-09-13 06:55:34] [FCM_SIMULATION] Title: Flipkart Super Admin Alert | Body: Live test push notification from Flipkart Control Center | Token: device_token_sample_web_app
[2026-09-13 06:55:51] [FCM_SIMULATION] Title: Order Confirmed! #OD202609130176706 | Body: Your order for ₹998.00 has been placed successfully. Delivery expected by 2026-09-17. | Token: device_token_sample_web_app
[2026-09-13 06:55:54] [FCM_SIMULATION] Title: Flipkart Big Billion Days | Body: Flat 50% Off on Mobile Phones Today! | Token: device_token_sample_web_app
